DATE_DAY,ALL_PURCHASES,ALL_PURCHASES_ORIGINAL_PRICE,REVENUE_PER_PURCHASE,GOOGLE_PAID_SEARCH_IMPRESSIONS,GOOGLE_SHOPPING_IMPRESSIONS,GOOGLE_PMAX_IMPRESSIONS,GOOGLE_VIDEO_IMPRESSIONS,META_FACEBOOK_IMPRESSIONS,META_INSTAGRAM_IMPRESSIONS,GOOGLE_PAID_SEARCH_SPEND,GOOGLE_SHOPPING_SPEND,GOOGLE_PMAX_SPEND,GOOGLE_VIDEO_SPEND,META_FACEBOOK_SPEND,META_INSTAGRAM_SPEND,TREND,DOW_Friday,DOW_Saturday,DOW_Sunday,DOW_Thursday,DOW_Tuesday,DOW_Wednesday,YEAR_SIN_1,YEAR_COS_1,YEAR_SIN_2,YEAR_COS_2,BLACK_FRIDAY_PERIOD,LOG_ORGANIC_SEARCH_CLICKS,LOG_EMAIL_CLICKS,LOG_REFERRAL_CLICKS,LOG_ALL_OTHER_CLICKS
2020-11-21,87,11339.006630377,130.3334095445632,773.0,59850.0,0.0,0.0,99163.0,0.0,95.38,773.82,0.0,0.0,1138.970648244,0.0,0.0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0
2020-11-22,155,23078.991668098,148.89672043934192,773.0,71318.0,0.0,0.0,394931.0,0.0,100.88,491.87,0.0,0.0,4486.452132985,0.0,0.000784313725490196,0,0,1,0,0,0,0.017201575418260506,0.9998520419557735,0.03439806061360801,0.9994082116062598,0,0.0,0.0,0.0,0.0
2020-11-23,165,22954.006946598,139.11519361574545,897.0,62824.0,0.0,0.0,254403.0,0.0,123.95,384.94,0.0,0.0,3835.775893496,0.0,0.001568627450980392,0,0,0,0,0,0,0.03439806061360801,0.9994082116062598,0.06875540848113941,0.9976335468520451,0,0.0,0.0,0.0,0.0
2020-11-24,113,17747.000079921,157.0530980523982,1105.0,57843.0,0.0,0.0,165212.0,0.0,83.74,337.96,0.0,0.0,2651.40284175,0.0,0.002352941176470588,0,0,0,0,1,0,0.051584366869408364,0.9986686402879997,0.10303137904317879,0.9946781061893646,0,0.0,0.0,0.0,0.0
2020-11-25,95,15592.00458026,164.12636400273684,1266.0,63830.0,0.0,0.0,111504.0,0.0,140.29,485.03,0.0,0.0,2324.369601191,0.0,0.003137254901960784,0,0,0,0,0,1,0.06875540848113941,0.9976335468520451,0.13718540405660057,0.9905453876091833,0,0.0,0.0,0.0,0.0
2020-11-26,110,15542.995946106,141.29996314641818,1333.0,95456.0,0.0,0.0,114787.0,0.0,137.61,763.82,0.0,0.0,2312.210603032,0.0,0.00392156862745098,0,0,0,1,0,0,0.08590610426133272,0.9963032375991965,0.17117705961019986,0.985240282501282,1,0.0,0.0,0.0,0.0
2020-11-27,337,49639.495300778,147.2982056402908,1321.0,84574.0,0.0,0.0,420963.0,0.0,110.21,620.42,0.0,0.0,8581.252110979,0.0,0.004705882352941176,1,0,0,0,0,0,0.10303137904317879,0.9946781061893646,0.20496611396949532,0.9787690698649216,1,0.0,0.0,0.0,0.0
2020-11-28,433,53603.002521198,123.79446309745497,1316.0,60384.0,0.0,0.0,656688.0,0.0,118.7,425.46,0.0,0.0,11950.978015976,0.0,0.005490196078431373,0,1,0,0,0,0,0.1201261651823505,0.9927586335250793,0.23851257519407648,0.9711394088771653,1,0.0,0.0,0.0,0.0
2020-11-29,323,40760.992742423,126.19502397034984,1537.0,72624.0,0.0,0.0,377479.0,0.0,112.45,444.95,0.0,0.0,5141.497269521,0.0,0.006274509803921568,0,0,1,0,0,0,0.13718540405660057,0.9905453876091833,0.2717767384711357,0.9623603298276545,1,0.0,0.0,0.0,0.0
2020-11-30,347,39745.566022481,114.54053608784149,1864.0,83926.0,0.0,0.0,419199.0,0.0,286.87,579.49,0.0,0.0,6906.671252691,0.0,0.007058823529411765,0,0,0,0,0,0,0.1542040475626894,0.988039023376751,0.3047192331091634,0.9524422234305676,1,0.0,0.0,0.0,0.0
